method,citation,s01,s02,s03,s04,s05,s06,s07,s08,s09,average
FBCSP,37,70.00,60.36,60.94,97.50,93.12,80.63,78.13,92.50,86.88,80.00
ConvNet,38,76.56,50.00,51.56,96.88,93.13,85.31,83.75,91.56,85.62,79.37
EEGNet,39,75.94,57.64,58.43,98.13,81.25,88.75,84.06,93.44,89.69,80.48
DRDA,42,81.37,62.86,63.63,95.94,93.56,88.19,85.00,95.25,90.00,83.98
Conformer,43,82.50,65.71,63.75,98.44,86.56,90.31,87.81,94.38,92.19,84.63
This study,,89.5,78.5,71.5,96.67,87.86,85.25,83.25,87.05,84.00,84.84
Average,,79.31,62.51,61.64,97.26,89.25,86.41,83.67,92.36,88.06,
